split,label,filename,width,height,sharpness,brightness,contrast,noise,saturation,entropy,edge_density
train,blur,dataset\generated\train\blur\IMG_20240716_115131_blur.jpg,1836,4080,20.6153,117.0384,57.753,1.0991,0.3065,7.7182,0.019
train,blur,dataset\generated\train\blur\IMG_20240716_150528_blur.jpg,4080,1836,71.4904,93.8927,45.9533,2.037,0.4047,7.4235,0.0669
train,blur,dataset\generated\train\blur\Snapchat-1478306623_blur.jpg,1080,1920,26.1995,90.9696,36.2814,1.2351,0.3286,7.05,0.0219
train,blur,dataset\generated\train\blur\Snapchat-468199842_blur.jpg,1080,1920,7.9812,81.0035,42.1545,0.6786,0.4647,7.2298,0.0099
train,blur,dataset\generated\train\blur\Snapchat-511022675_blur.jpg,720,1280,12.2337,82.0303,33.6149,0.8482,0.35,7.0145,0.0066
train,blur,dataset\generated\train\blur\WhatsApp Image 2023-07-23 at 10.57.01_blur.jpg,960,1280,9.0242,68.3054,53.1361,0.7126,0.3419,7.1749,0.0101
train,blur,dataset\generated\train\blur\WhatsApp Image 2023-07-23 at 20.13.36_blur.jpg,1200,1600,3.0676,137.2821,64.648,0.3767,0.2049,7.5262,0.0027
train,clean,dataset\generated\train\clean\IMG20240722164538_clean.jpg,4928,6560,20.5057,183.0647,61.4009,1.0912,0.2294,7.2066,0.0129
train,clean,dataset\generated\train\clean\IMG20240801122708_clean.jpg,3072,4096,110.8454,124.4508,74.6204,2.4658,0.2895,7.646,0.0253
train,clean,dataset\generated\train\clean\IMG20240805153517_clean.jpg,2304,4096,16.9932,123.7401,67.8972,0.9913,0.2775,7.1522,0.0115
train,clean,dataset\generated\train\clean\IMG20240807161856_clean.jpg,2304,4096,402.3032,161.4065,56.7448,4.5242,0.1857,7.4812,0.1213
train,clean,dataset\generated\train\clean\IMG20240811194131_clean.jpg,2304,4096,32.1106,73.6414,45.2917,1.3569,0.4139,7.0955,0.0133
train,clean,dataset\generated\train\clean\IMG20240811194435_clean.jpg,2304,4096,30.7969,63.8444,41.823,1.3271,0.4364,6.9851,0.0194
train,clean,dataset\generated\train\clean\IMG20240811194518_clean.jpg,2304,4096,125.3437,68.3523,58.6561,2.5405,0.3648,7.1659,0.0353
train,clean,dataset\generated\train\clean\IMG20240812195118_clean.jpg,4096,2304,10.2134,51.9803,29.8256,0.7446,0.5118,6.7085,0.0023
train,clean,dataset\generated\train\clean\IMG20240815115806_clean.jpg,2304,4096,226.4841,122.6432,64.5013,3.5046,0.4088,7.767,0.0971
train,clean,dataset\generated\train\clean\IMG20240817100342_clean.jpg,1836,3264,919.7069,115.5803,66.233,6.9207,0.323,7.7904,0.1779
train,clean,dataset\generated\train\clean\IMG20240901193046_clean.jpg,2304,4096,53.7155,116.8706,61.2043,1.7197,0.2586,7.6842,0.0282
train,clean,dataset\generated\train\clean\IMG_20240714_161410_clean.jpg,3264,1472,28.3326,115.6284,60.717,1.1973,0.2123,7.6083,0.0075
train,clean,dataset\generated\train\clean\IMG_20240714_163506_clean.jpg,4080,1836,214.7603,87.1246,52.2665,3.1826,0.3994,7.5349,0.0512
train,clean,dataset\generated\train\clean\IMG_20240714_163511_clean.jpg,1836,4080,336.9716,79.7335,42.9236,3.9319,0.4445,6.9897,0.0359
train,clean,dataset\generated\train\clean\IMG_20240714_163556_clean.jpg,1836,4080,136.1915,83.5918,51.5926,2.5543,0.3841,7.4092,0.0359
train,clean,dataset\generated\train\clean\IMG_20240714_170828_clean.jpg,1836,4080,263.8999,102.8294,55.7989,3.6286,0.5016,7.4992,0.0304
train,clean,dataset\generated\train\clean\IMG_20240716_023503_clean.jpg,4656,2620,19.2722,98.0589,50.8215,1.0574,0.2496,7.4716,0.0103
train,clean,dataset\generated\train\clean\IMG_20240716_075703_clean.jpg,2252,4000,1005.3867,142.6327,50.5415,6.997,0.1688,7.5467,0.1014
train,clean,dataset\generated\train\clean\IMG_20240716_080446_clean.jpg,1836,4080,300.3349,136.6849,52.6225,3.8668,0.2477,7.5994,0.0473
train,clean,dataset\generated\train\clean\IMG_20240716_083506_clean.jpg,4080,1836,1069.5353,97.4346,46.5376,7.1677,0.3221,7.4952,0.2284
train,clean,dataset\generated\train\clean\IMG_20240716_111214_clean.jpg,2252,4000,665.8258,147.3157,38.7463,5.4788,0.2289,7.2564,0.0823
train,clean,dataset\generated\train\clean\IMG_20240716_115131_clean.jpg,1836,4080,1358.4157,117.0477,61.4581,7.8494,0.3262,7.8358,0.156
train,clean,dataset\generated\train\clean\IMG_20240716_150528_clean.jpg,4080,1836,585.386,93.8989,48.0501,5.3516,0.4168,7.5046,0.1679
train,clean,dataset\generated\train\clean\Snapchat-1478306623_clean.jpg,1080,1920,246.9203,90.9704,37.3551,3.5681,0.333,7.0969,0.0476
train,clean,dataset\generated\train\clean\Snapchat-468199842_clean.jpg,1080,1920,156.983,81.0053,43.7208,2.831,0.4749,7.2743,0.0474
train,clean,dataset\generated\train\clean\Snapchat-511022675_clean.jpg,720,1280,1767.3736,82.0263,38.0882,8.8376,0.3708,7.1259,0.1365
train,clean,dataset\generated\train\clean\WhatsApp Image 2023-07-23 at 10.57.01_clean.jpg,960,1280,109.9222,68.3136,53.8843,2.3951,0.3445,7.1934,0.0199
train,clean,dataset\generated\train\clean\WhatsApp Image 2023-07-23 at 20.13.36_clean.jpg,1200,1600,55.8853,137.2811,64.9412,1.7169,0.2056,7.5481,0.0077
train,noise,dataset\generated\train\noise\IMG20240722164538_noise.jpg,4928,6560,6008.6874,180.0455,60.9785,13.8747,0.2379,7.5484,0.1916
train,noise,dataset\generated\train\noise\IMG20240801122708_noise.jpg,3072,4096,4338.9012,124.1045,74.3599,11.8681,0.3443,7.9299,0.1164
train,noise,dataset\generated\train\noise\IMG20240805153517_noise.jpg,2304,4096,6848.5096,124.1706,68.9257,14.8055,0.3256,7.7102,0.2267
train,noise,dataset\generated\train\noise\IMG20240807161856_noise.jpg,2304,4096,13044.9558,159.3781,59.1865,20.6074,0.232,7.7831,0.3387
train,noise,dataset\generated\train\noise\IMG20240811194131_noise.jpg,2304,4096,6046.8159,73.7241,47.4721,13.9223,0.474,7.3592,0.1964
train,noise,dataset\generated\train\noise\IMG20240811194435_noise.jpg,2304,4096,10343.5432,66.4651,44.9321,18.2055,0.5301,7.3327,0.3
train,noise,dataset\generated\train\noise\IMG20240811194518_noise.jpg,2304,4096,10914.7021,72.189,59.071,18.7429,0.5126,7.5497,0.294
train,noise,dataset\generated\train\noise\IMG20240812195118_noise.jpg,4096,2304,4767.8054,52.7448,32.5462,12.3481,0.5537,6.9246,0.1038
train,noise,dataset\generated\train\noise\IMG20240815115806_noise.jpg,2304,4096,12674.5341,122.7462,65.7359,20.2427,0.4463,7.9401,0.3351
train,noise,dataset\generated\train\noise\IMG20240817100342_noise.jpg,1836,3264,11729.4406,114.9658,66.9187,19.8033,0.3561,7.899,0.3361
train,noise,dataset\generated\train\noise\IMG20240901193046_noise.jpg,2304,4096,6727.0235,116.3759,63.0329,14.6984,0.3064,7.8553,0.2398
train,noise,dataset\generated\train\noise\IMG_20240714_161410_noise.jpg,3264,1472,3579.4366,115.1377,61.923,10.7047,0.2578,7.8207,0.0507
train,noise,dataset\generated\train\noise\IMG_20240714_163506_noise.jpg,4080,1836,11532.7321,88.162,55.2385,19.2837,0.4246,7.6798,0.3176
train,noise,dataset\generated\train\noise\IMG_20240714_163511_noise.jpg,1836,4080,4798.7046,79.3566,45.0841,12.5574,0.4624,7.2225,0.1565
train,noise,dataset\generated\train\noise\IMG_20240714_163556_noise.jpg,1836,4080,14215.6785,85.175,54.6846,21.3731,0.4311,7.633,0.3346
train,noise,dataset\generated\train\noise\IMG_20240714_170828_noise.jpg,1836,4080,10153.0215,102.9178,57.0997,18.1387,0.5043,7.7569,0.2973
train,noise,dataset\generated\train\noise\IMG_20240716_023503_noise.jpg,4656,2620,6711.3896,97.8044,53.5032,14.6578,0.3102,7.6639,0.2316
train,noise,dataset\generated\train\noise\IMG_20240716_075703_noise.jpg,2252,4000,6996.7741,142.0199,52.9548,15.4729,0.2003,7.6965,0.2716
train,noise,dataset\generated\train\noise\IMG_20240716_080446_noise.jpg,1836,4080,11655.4192,136.3051,56.4347,19.4413,0.2883,7.7785,0.3266
train,noise,dataset\generated\train\noise\IMG_20240716_083506_noise.jpg,4080,1836,9508.592,97.535,49.6552,17.8976,0.3595,7.6213,0.3485
train,noise,dataset\generated\train\noise\IMG_20240716_111214_noise.jpg,2252,4000,9591.9747,146.4502,43.3831,17.742,0.2539,7.4672,0.3229
train,noise,dataset\generated\train\noise\IMG_20240716_115131_noise.jpg,1836,4080,10338.0558,116.9084,63.1347,18.6394,0.3377,7.9019,0.3234
train,noise,dataset\generated\train\noise\IMG_20240716_150528_noise.jpg,4080,1836,6612.4558,93.7972,50.1823,14.8578,0.4212,7.5986,0.3067
train,noise,dataset\generated\train\noise\Snapchat-1478306623_noise.jpg,1080,1920,14977.2997,92.0782,44.3883,21.9713,0.3998,7.4691,0.345
train,noise,dataset\generated\train\noise\Snapchat-468199842_noise.jpg,1080,1920,8265.8998,82.6415,45.8581,16.3327,0.5097,7.4583,0.2735
train,noise,dataset\generated\train\noise\Snapchat-511022675_noise.jpg,720,1280,4661.8987,81.8,39.5431,13.0347,0.3991,7.269,0.1746
train,noise,dataset\generated\train\noise\WhatsApp Image 2023-07-23 at 10.57.01_noise.jpg,960,1280,2227.7874,68.0321,54.4689,8.5404,0.394,7.3717,0.0309
train,noise,dataset\generated\train\noise\WhatsApp Image 2023-07-23 at 20.13.36_noise.jpg,1200,1600,15012.8492,135.7061,67.0373,21.939,0.2845,7.9205,0.3381
train,overexposure,dataset\generated\train\overexposure\IMG20240722164538_overexposure.jpg,4928,6560,36.7105,232.6251,54.9017,1.4506,0.0601,2.5847,0.019
train,overexposure,dataset\generated\train\overexposure\IMG20240801122708_overexposure.jpg,3072,4096,282.8692,188.0799,86.8736,3.8503,0.1875,5.5918,0.0288
train,overexposure,dataset\generated\train\overexposure\IMG20240805153517_overexposure.jpg,2304,4096,33.4812,174.9505,91.3798,1.3841,0.2366,5.8174,0.0161
train,overexposure,dataset\generated\train\overexposure\IMG20240807161856_overexposure.jpg,2304,4096,547.0113,231.2584,50.159,5.1126,0.1096,3.8038,0.0654
train,overexposure,dataset\generated\train\overexposure\IMG20240811194131_overexposure.jpg,2304,4096,81.1488,132.2269,61.4541,2.1281,0.3896,7.6569,0.0147
train,overexposure,dataset\generated\train\overexposure\IMG20240811194435_overexposure.jpg,2304,4096,79.2575,101.9384,60.8251,2.1053,0.4268,7.5142,0.0402
train,overexposure,dataset\generated\train\overexposure\IMG20240811194518_overexposure.jpg,2304,4096,321.6157,117.6571,84.1641,3.947,0.335,7.4531,0.0464
train,overexposure,dataset\generated\train\overexposure\IMG20240812195118_overexposure.jpg,4096,2304,23.1837,78.4082,44.3447,1.1104,0.5136,7.2907,0.0045
train,overexposure,dataset\generated\train\overexposure\IMG20240815115806_overexposure.jpg,2304,4096,478.1456,172.8332,78.9068,4.9813,0.375,7.2769,0.1084
train,overexposure,dataset\generated\train\overexposure\IMG20240817100342_overexposure.jpg,1836,3264,2443.4426,189.266,69.7154,10.8674,0.2668,6.7336,0.1929
train,overexposure,dataset\generated\train\overexposure\IMG20240901193046_overexposure.jpg,2304,4096,107.7381,189.1574,70.8469,2.3712,0.1674,6.064,0.0331
train,overexposure,dataset\generated\train\overexposure\IMG_20240714_161410_overexposure.jpg,3264,1472,64.453,173.6758,73.8763,1.762,0.1845,6.6309,0.012
train,overexposure,dataset\generated\train\overexposure\IMG_20240714_163506_overexposure.jpg,4080,1836,611.9295,153.7588,73.8699,5.2853,0.3599,7.5263,0.0662
train,overexposure,dataset\generated\train\overexposure\IMG_20240714_163511_overexposure.jpg,1836,4080,910.4489,127.3862,55.2331,6.2845,0.4299,7.3343,0.0673
train,overexposure,dataset\generated\train\overexposure\IMG_20240714_163556_overexposure.jpg,1836,4080,354.5161,127.2259,67.0006,4.0244,0.3699,7.6078,0.0561
train,overexposure,dataset\generated\train\overexposure\IMG_20240714_170828_overexposure.jpg,1836,4080,603.1586,175.7536,72.2159,5.367,0.4342,7.3534,0.041
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_023503_overexposure.jpg,4656,2620,56.1711,174.7881,66.9798,1.764,0.1952,6.9439,0.0219
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_075703_overexposure.jpg,2252,4000,1361.601,216.1287,58.2961,7.9418,0.1126,5.446,0.0961
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_080446_overexposure.jpg,1836,4080,596.5659,200.9023,65.8412,5.3558,0.206,6.062,0.0576
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_083506_overexposure.jpg,4080,1836,2972.1924,162.7383,66.8803,11.7157,0.3011,7.7122,0.2801
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_111214_overexposure.jpg,2252,4000,490.2891,241.1394,31.5511,4.4961,0.0944,4.0513,0.0407
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_115131_overexposure.jpg,1836,4080,3892.188,187.067,72.4393,13.1071,0.2376,6.5991,0.1832
train,overexposure,dataset\generated\train\overexposure\IMG_20240716_150528_overexposure.jpg,4080,1836,2045.9575,176.0914,66.8688,9.8632,0.3853,7.3925,0.2282
train,overexposure,dataset\generated\train\overexposure\Snapchat-1478306623_overexposure.jpg,1080,1920,642.3778,151.9909,61.5758,5.7377,0.3248,7.7367,0.0787
train,overexposure,dataset\generated\train\overexposure\Snapchat-468199842_overexposure.jpg,1080,1920,550.8409,158.6011,78.5056,5.2175,0.429,7.5882,0.0847
train,overexposure,dataset\generated\train\overexposure\Snapchat-511022675_overexposure.jpg,720,1280,5594.6258,148.3168,65.9471,15.7078,0.3346,7.7862,0.1798
train,overexposure,dataset\generated\train\overexposure\WhatsApp Image 2023-07-23 at 10.57.01_overexposure.jpg,960,1280,308.1641,124.1277,76.0596,3.9197,0.3096,7.4931,0.0293
train,overexposure,dataset\generated\train\overexposure\WhatsApp Image 2023-07-23 at 20.13.36_overexposure.jpg,1200,1600,84.4793,190.3102,66.588,2.0971,0.1759,5.8264,0.012
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240722164538_severe_degradation.jpg,4928,6560,10343.539,82.3344,34.0898,18.1871,0.3192,7.0848,0.2983
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240801122708_severe_degradation.jpg,3072,4096,8863.8418,58.2563,36.22,16.8402,0.4247,7.0733,0.2566
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240805153517_severe_degradation.jpg,2304,4096,8903.7909,57.8228,33.8301,16.8739,0.4008,6.9821,0.2541
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240807161856_severe_degradation.jpg,2304,4096,10191.8343,72.7307,32.0606,18.056,0.3153,7.0237,0.3027
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240811194131_severe_degradation.jpg,2304,4096,7436.3327,37.0478,26.0018,15.4205,0.5308,6.5268,0.223
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240811194435_severe_degradation.jpg,2304,4096,6958.78,33.6252,24.0383,14.9203,0.5637,6.4044,0.2041
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240811194518_severe_degradation.jpg,2304,4096,6994.1251,36.1518,28.7106,14.9531,0.5521,6.5646,0.1958
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240812195118_severe_degradation.jpg,4096,2304,6450.6646,29.0987,20.699,14.3633,0.5692,6.1912,0.181
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240815115806_severe_degradation.jpg,2304,4096,9098.3387,56.9492,32.6761,17.0597,0.4788,6.979,0.2763
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240817100342_severe_degradation.jpg,1836,3264,8989.2072,53.7041,33.1223,16.9549,0.4212,6.9647,0.2794
train,severe_degradation,dataset\generated\train\severe_degradation\IMG20240901193046_severe_degradation.jpg,2304,4096,8963.3005,54.2589,32.3776,16.9315,0.4105,6.9472,0.27
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240714_161410_severe_degradation.jpg,3264,1472,8888.6046,53.775,32.3698,16.8602,0.3989,6.9445,0.2639
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240714_163506_severe_degradation.jpg,4080,1836,8007.7763,42.2679,27.9198,16.0064,0.4756,6.6813,0.245
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240714_163511_severe_degradation.jpg,1836,4080,7728.9372,38.9957,25.1959,15.7199,0.506,6.5326,0.2429
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240714_163556_severe_degradation.jpg,1836,4080,7837.8623,40.8863,27.8002,15.8317,0.4807,6.6521,0.2392
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240714_170828_severe_degradation.jpg,1836,4080,8482.2606,48.6343,29.9134,16.4715,0.5244,6.8223,0.2535
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_023503_severe_degradation.jpg,4656,2620,8487.0011,46.3719,28.7944,16.4723,0.4345,6.7617,0.2568
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_075703_severe_degradation.jpg,2252,4000,9961.9491,64.4173,29.5763,17.8514,0.3229,6.9027,0.2988
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_080446_severe_degradation.jpg,1836,4080,9717.6736,62.0838,30.0762,17.6246,0.3626,6.9143,0.2931
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_083506_severe_degradation.jpg,4080,1836,8758.8594,45.7962,26.5236,16.7364,0.4415,6.679,0.2759
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_111214_severe_degradation.jpg,2252,4000,10274.3893,66.1287,27.2165,18.1292,0.3457,6.7996,0.3058
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_115131_severe_degradation.jpg,1836,4080,9033.078,54.1521,31.7192,16.9936,0.4078,6.9302,0.2771
train,severe_degradation,dataset\generated\train\severe_degradation\IMG_20240716_150528_severe_degradation.jpg,4080,1836,8547.2205,44.5113,27.2232,16.5363,0.477,6.6876,0.2716
train,severe_degradation,dataset\generated\train\severe_degradation\Snapchat-1478306623_severe_degradation.jpg,1080,1920,8396.8073,43.2058,24.3851,16.3817,0.4591,6.5674,0.2598
train,severe_degradation,dataset\generated\train\severe_degradation\Snapchat-468199842_severe_degradation.jpg,1080,1920,7828.5268,40.1348,24.913,15.817,0.5352,6.5551,0.2373
train,severe_degradation,dataset\generated\train\severe_degradation\Snapchat-511022675_severe_degradation.jpg,720,1280,8078.276,39.7682,23.5645,16.0804,0.4907,6.4977,0.2525
train,severe_degradation,dataset\generated\train\severe_degradation\WhatsApp Image 2023-07-23 at 10.57.01_severe_degradation.jpg,960,1280,7005.3374,35.672,27.6909,14.9566,0.5277,6.5358,0.1989
train,severe_degradation,dataset\generated\train\severe_degradation\WhatsApp Image 2023-07-23 at 20.13.36_severe_degradation.jpg,1200,1600,9429.6672,62.7102,34.6478,17.37,0.3611,7.0741,0.2796
train,underexposure,dataset\generated\train\underexposure\IMG20240722164538_underexposure.jpg,4928,6560,3.7692,66.3989,22.4423,0.4544,0.2329,5.8796,0.0001
train,underexposure,dataset\generated\train\underexposure\IMG20240801122708_underexposure.jpg,3072,4096,42.6416,66.222,39.9811,1.4834,0.2942,6.7882,0.0109
train,underexposure,dataset\generated\train\underexposure\IMG20240805153517_underexposure.jpg,2304,4096,3.2289,40.2572,22.39,0.405,0.2857,5.5622,0.0004
train,underexposure,dataset\generated\train\underexposure\IMG20240807161856_underexposure.jpg,2304,4096,62.1094,63.7249,22.5974,1.8046,0.1905,6.16,0.01
train,underexposure,dataset\generated\train\underexposure\IMG20240811194131_underexposure.jpg,2304,4096,5.6835,24.8468,15.6045,0.5547,0.4238,5.5653,0.0009
train,underexposure,dataset\generated\train\underexposure\IMG20240811194435_underexposure.jpg,2304,4096,5.1092,20.9353,13.9396,0.5265,0.4511,5.4056,0.0007
train,underexposure,dataset\generated\train\underexposure\IMG20240811194518_underexposure.jpg,2304,4096,23.3876,28.0683,24.414,1.1084,0.3753,5.9652,0.0077
train,underexposure,dataset\generated\train\underexposure\IMG20240812195118_underexposure.jpg,4096,2304,2.1156,16.0598,9.5318,0.3058,0.5333,5.0645,0.0001
train,underexposure,dataset\generated\train\underexposure\IMG20240815115806_underexposure.jpg,2304,4096,20.3726,33.6011,17.9308,1.0555,0.4157,5.9614,0.0038
train,underexposure,dataset\generated\train\underexposure\IMG20240817100342_underexposure.jpg,1836,3264,81.5682,32.3699,18.8591,2.054,0.3332,5.9857,0.0243
train,underexposure,dataset\generated\train\underexposure\IMG20240901193046_underexposure.jpg,2304,4096,11.326,47.5958,25.195,0.7816,0.265,6.4044,0.0061
train,underexposure,dataset\generated\train\underexposure\IMG_20240714_161410_underexposure.jpg,3264,1472,4.3159,40.2061,21.3791,0.4665,0.2215,6.1073,0.0009
train,underexposure,dataset\generated\train\underexposure\IMG_20240714_163506_underexposure.jpg,4080,1836,16.221,23.0723,14.146,0.9071,0.4278,5.6546,0.0034
train,underexposure,dataset\generated\train\underexposure\IMG_20240714_163511_underexposure.jpg,1836,4080,39.7823,30.3938,16.6433,1.4344,0.4556,5.6237,0.0143
train,underexposure,dataset\generated\train\underexposure\IMG_20240714_163556_underexposure.jpg,1836,4080,15.0773,29.7919,18.6813,0.8974,0.4014,5.9573,0.0046
train,underexposure,dataset\generated\train\underexposure\IMG_20240714_170828_underexposure.jpg,1836,4080,57.7789,45.8885,25.2195,1.7054,0.5083,6.3763,0.0148
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_023503_underexposure.jpg,4656,2620,5.4805,42.4762,22.2614,0.5491,0.2527,6.2817,0.0019
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_075703_underexposure.jpg,2252,4000,192.9645,62.3601,22.2805,3.0925,0.1697,6.3687,0.0375
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_080446_underexposure.jpg,1836,4080,54.1107,58.6347,22.7771,1.6838,0.2532,6.392,0.0184
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_083506_underexposure.jpg,4080,1836,468.1022,52.3096,25.3369,4.4697,0.3286,6.6227,0.0977
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_111214_underexposure.jpg,2252,4000,40.0775,39.2533,10.4568,1.4292,0.2333,5.3729,0.0031
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_115131_underexposure.jpg,1836,4080,152.9029,39.2369,20.87,2.6762,0.3356,6.2768,0.0371
train,underexposure,dataset\generated\train\underexposure\IMG_20240716_150528_underexposure.jpg,4080,1836,217.713,47.0677,24.4022,3.1138,0.4204,6.5286,0.0472
train,underexposure,dataset\generated\train\underexposure\Snapchat-1478306623_underexposure.jpg,1080,1920,36.4922,34.8476,14.5222,1.401,0.3407,5.7369,0.0076
train,underexposure,dataset\generated\train\underexposure\Snapchat-468199842_underexposure.jpg,1080,1920,30.566,34.7762,19.0554,1.2648,0.4867,6.0851,0.0079
train,underexposure,dataset\generated\train\underexposure\Snapchat-511022675_underexposure.jpg,720,1280,420.6993,38.7674,18.2366,4.3005,0.3774,6.0705,0.0609
train,underexposure,dataset\generated\train\underexposure\WhatsApp Image 2023-07-23 at 10.57.01_underexposure.jpg,960,1280,33.5137,36.4675,29.1757,1.3195,0.3519,6.3124,0.0108
train,underexposure,dataset\generated\train\underexposure\WhatsApp Image 2023-07-23 at 20.13.36_underexposure.jpg,1200,1600,8.9631,50.3085,24.0248,0.6811,0.2101,6.1218,0.002
test,blur,dataset\generated\test\blur\IMG20240801122648_blur.jpg,3472,4624,7.0789,127.2232,70.2396,0.6222,0.2164,7.4988,0.004
test,blur,dataset\generated\test\blur\IMG20240802185308_blur.jpg,3072,4096,9.655,121.227,54.2595,0.7522,0.2642,7.5103,0.0138
test,blur,dataset\generated\test\blur\IMG20240802185549_blur.jpg,3472,4624,4.8297,123.467,49.0642,0.5246,0.273,7.41,0.0014
test,blur,dataset\generated\test\blur\IMG20240811134913_blur.jpg,2304,4096,17.7364,139.7583,57.4571,1.0267,0.2061,7.1958,0.0148
test,blur,dataset\generated\test\blur\IMG20240817100603_blur.jpg,2304,4096,59.2077,146.2676,56.8025,1.8433,0.2748,7.56,0.0606
test,blur,dataset\generated\test\blur\IMG20240826181402_blur.jpg,2304,4096,12.8983,117.3054,58.4138,0.8751,0.2025,7.6593,0.0157
test,blur,dataset\generated\test\blur\IMG20240910145401_blur.jpg,2304,4096,12.7856,149.9912,39.7361,0.8518,0.1587,6.8266,0.013
